name,country,latitude,longitude,near_hotspot,hotspot_info
Dosha Primary school,Ethiopia,7.93144,39.132429,False,
Ugaas Mashkoke ,Ethiopia,5.944587,43.55073,False,
Iskoolka Waafdhuug,Ethiopia,6.818052,45.087119,False,
Masinchi Primary school,Ethiopia,6.734621,38.421467,False,
ፅጌረዳ ሁለተኛ ደረጃ ትምህርት ቤት,Ethiopia,13.76935,39.347015,False,
Primary School,Ethiopia,13.749195,39.550039,False,
Sherafo Complete Primary School,Ethiopia,13.684432,39.54332,False,
Baraem Der Bazi Kindergarten,Palestine,31.915814,35.117934,True,Al Quds (93 events)
Dereje Kaba HPS (Menschen fuer Menschen),Ethiopia,9.040833,35.105833,False,
meles zenawi preparatory school,Ethiopia,13.629711,38.991517,False,
ማይካድራ ካልኣይ ብርኪ ቤት ትምህርቲ,Ethiopia,14.082235,36.570453,False,
Gode Poly Technic Collage  ,Ethiopia,5.940009,43.561219,False,
OZOM ACADEMY,Ethiopia,13.479357,39.460773,True,Mekelle Tigray (6 events)
College of Teacher Education,Ethiopia,7.035502,38.475474,False,
Hawassa Agricultural College,Ethiopia,7.055532,38.471812,False,
Yeror,Ethiopia,8.114524,37.972126,False,
זית,Palestine,31.901619,34.992774,False,
Al Sawahreh Kindergarten,Palestine,31.745126,35.26576,True,Bethlehem (68 events)
Al Amal kindergarten,Palestine,31.902909,35.176345,True,Al Quds (93 events)
Alahbab,Palestine,31.999058,35.06476,False,
גן ילדים הניסויי,Palestine,31.778826,35.218775,True,Bethlehem (68 events)
روضة مخماس,Palestine,31.874131,35.276444,True,Al Quds (93 events)
Seret Primary School,Ethiopia,13.582866,39.121985,False,
Hawassa Addis Ketema Highschool,Ethiopia,7.067939,38.485641,False,
Ayni's School,Ethiopia,7.079523,38.485614,False,
አጉላዕ ሁለተኛ ደረጃ ትምህርት ቤት,Ethiopia,13.695306,39.580638,False,
Abaya Secondary School,Ethiopia,6.035759,37.548299,False,
Radical School,Ethiopia,9.039476,38.762799,False,
ኤል ኤም,Ethiopia,9.037915,38.766118,False,
Genet K. G. School,Ethiopia,9.042056,38.762727,False,
Yekatit 12 preparatory,Ethiopia,9.05024,38.75943,False,
የኢትዮጵያ ህዋ ምርምር,Ethiopia,9.050762,38.761599,False,
ድል በትግል የመጀመሪያ ደረጃ ት/ቤት,Ethiopia,9.062437,38.760308,False,
African hall,Ethiopia,7.056822,38.496023,False,
Hawassa University Condominiums,Ethiopia,7.069548,38.487352,False,
תלמוד תורה עץ חיים,Palestine,31.696498,35.10296,True,Bethlehem (68 events)
مدرسة ذكور قبيا الثاناوية,Palestine,31.978091,35.009315,False,
የቅዱስ ጆርጅ ትምህርት ቤት,Ethiopia,12.532882,37.439688,False,
בית יעקב גאולה,Palestine,31.796308,35.216151,True,Ramallah and Al Bireh (150 events)
Al-Amal school,Palestine,31.716224,35.176252,True,Bethlehem (68 events)
Zuhur Burham,Palestine,31.98921,35.175114,False,
Al Galazon Primary Female School,Palestine,31.944319,35.215668,True,Al Quds (93 events)
Al Glazon primary Male School,Palestine,31.944749,35.215782,True,Al Quds (93 events)
"בי""ס אמי""ת דרור",Palestine,31.784367,35.194759,True,Bethlehem (68 events)
ישיבת רינת התורה,Palestine,31.790454,35.210826,True,Bethlehem (68 events)
المدرسة الاساسية المختلطة,Palestine,31.998827,35.06848,False,
مدرسة خرائب أم اللحم الاساسية المختلطة,Palestine,31.840092,35.092943,False,
مدرسة بيت لقيا الثانوية للبنين,Palestine,31.870347,35.070954,False,
ذكور الفاروق الأساسية,Palestine,31.470133,35.07786,True,Hebron (147 events)
ሚዛን-አማን ጤና ሳይንስ ኮሌጅ መግቢያ,Ethiopia,6.94812,35.549006,False,
