year,indicator_code,indicator_label,unit,source,angle,value
2006,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",ratio,worldbank,teacher,14.22194
2006,SE.PRM.ENRR,"Primary enrollment, gross (%)",%,worldbank,access,88.5270919799805
2006,SE.PRM.TCHR,Teachers in primary (count),count,worldbank,teacher,33117
2006,SE.PRM.UNER,"Out-of-school children, primary (count)",count,worldbank,access,113436
2006,SE.PRM.UNER.FE.ZS,"Out-of-school girls, primary (%)",%,worldbank,gender,21.4850406646729
2006,SE.PRM.UNER.MA.ZS,"Out-of-school boys, primary (%)",%,worldbank,gender,21.1641502380371
2006,SE.PRM.UNER.ZS,"Out-of-school children, primary (%)",%,worldbank,access,21.3214702606201
2006,SE.SEC.CMPT.LO.ZS,Lower secondary completion rate (%),%,worldbank,learning,58.9880485534668
2006,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",ratio,worldbank,teacher,9.18398
2006,SE.SEC.ENRR,"Secondary enrollment, gross (%)",%,worldbank,access,67.2385787963867
2006,SE.SEC.TCHR,Teachers in secondary (count),count,worldbank,teacher,41536
2006,SE.XPD.TOTL.GB.ZS,Education expenditure (% of govt spend),%,worldbank,expenditure,7.69319009780884
2006,SE.XPD.TOTL.GD.ZS,Education expenditure (% of GDP),%,worldbank,expenditure,2.77976989746094
2006,SL.UEM.1524.ZS,Youth unemployment rate (%),%,worldbank,economic,21.264
2006,SL.UEM.TOTL.ZS,Unemployment rate (%),%,worldbank,economic,8.679
2006,SM.POP.NETM,Net migration (count),count,worldbank,displacement,25126
2007,CME_MRY0T4,Under-5 mortality rate,per 1k,unicef,wellbeing,14.0507241829351
2007,NY.GDP.PCAP.CD,GDP per capita (USD),USD,worldbank,economic,5125.25809960149
2007,ROFST.1.CP,"Out-of-school rate, primary (%)",%,uis,access,21.6821403503418
2007,ROFST.2.CP,"Out-of-school rate, lower secondary (%)",%,uis,access,23.54994964599609
2007,SE.ADT.1524.LT.ZS,Youth literacy rate 15–24 (%),%,worldbank,learning,98.7099990844727
2007,SE.PRM.CMPT.FE.ZS,Female primary completion rate (%),%,worldbank,gender,79.3142700195312
