name,amenity,country,iso3,source,latitude,longitude,addr_city,operator,building,near_hotspot,hotspot_info
Sarta Secondary School For Girls,school,Palestine,PSE,HOTOSM/OSM,32.102691,35.093511,,,,True,Salfit (50 events)
Ain Yabrud Girls Secondary School,school,Palestine,PSE,HOTOSM/OSM,31.954805,35.249078,,,,True,Al Quds (93 events)
Kafr Sur Girls Elementary School,school,Palestine,PSE,HOTOSM/OSM,32.243955,35.067171,,,,True,Tulkarm (40 events)
Kafr Sur Mixed Secondary School,school,Palestine,PSE,HOTOSM/OSM,32.244205,35.061827,,,,True,Tulkarm (40 events)
Qusin Mixed Secondary School,school,Palestine,PSE,HOTOSM/OSM,32.241167,35.188919,,,,True,Nablus (156 events)
Madama Boys Secondary School,school,Palestine,PSE,HOTOSM/OSM,32.184178,35.232957,,,,True,Nablus (156 events)
Abwein High School,school,Palestine,PSE,HOTOSM/OSM,32.030478,35.204965,,,,True,Salfit (50 events)
مدرسة طوباس الثانويه للبنين,school,Palestine,PSE,HOTOSM/OSM,32.322402,35.376892,,,,True,Tubas (14 events)
Abwein Elementary School,school,Palestine,PSE,HOTOSM/OSM,32.030494,35.205759,,,,True,Salfit (50 events)
كلية العروب الزراعية,college,Palestine,PSE,HOTOSM/OSM,31.626181,35.129557,,,,False,
حضانة سنو وايت,kindergarten,Palestine,PSE,HOTOSM/OSM,31.508319,34.431259,,,,True,Deir El Balah (3 events)
כרמל קדם,kindergarten,Palestine,PSE,HOTOSM/OSM,31.807328,35.15447,,,,True,Ramallah and Al Bireh (150 events)
גן הבושם,kindergarten,Palestine,PSE,HOTOSM/OSM,31.796335,35.133802,,,,False,
כרמל,kindergarten,Palestine,PSE,HOTOSM/OSM,31.807373,35.154499,,,,True,Ramallah and Al Bireh (150 events)
תבור,kindergarten,Palestine,PSE,HOTOSM/OSM,31.807162,35.154326,,,,True,Ramallah and Al Bireh (150 events)
גן ילדים,kindergarten,Palestine,PSE,HOTOSM/OSM,31.724239,35.169303,,,,True,Bethlehem (68 events)
مدرسة الجلمة للذكور,school,Palestine,PSE,HOTOSM/OSM,32.506258,35.317888,,,,True,Jenin (43 events)
מרכז רבדים לטיפוח ילדים מחוננים,school,Palestine,PSE,HOTOSM/OSM,32.008133,34.950327,,,,False,
"בי""ס שועפאט",school,Palestine,PSE,HOTOSM/OSM,31.815728,35.230725,,,,True,Al Quds (93 events)
Sanniriya Boys School,,Palestine,PSE,HOTOSM/OSM,32.128156,35.045071,,,school,True,Qalqilya (66 events)
Surda Girls Elementary School,school,Palestine,PSE,HOTOSM/OSM,31.945487,35.201843,,,,True,Al Quds (93 events)
Atil Girls Elementary School,school,Palestine,PSE,HOTOSM/OSM,32.370052,35.073974,,,,True,Tulkarm (40 events)
مدرسة بديا الاساسية للبنات,school,Palestine,PSE,HOTOSM/OSM,32.11451,35.081313,,,,False,
مدرسة بديا الاساسية للبنين,school,Palestine,PSE,HOTOSM/OSM,32.114465,35.081824,,,,True,Salfit (50 events)
مدرسة ذكور بديا الثانوية,school,Palestine,PSE,HOTOSM/OSM,32.120548,35.07361,,,,False,
ישיבת אור דוד,college,Palestine,PSE,HOTOSM/OSM,31.821292,35.195412,,,,True,Al Quds (93 events)
,school,Palestine,PSE,HOTOSM/OSM,31.77375,35.236826,,,yes,True,Bethlehem (68 events)
ישיבת ויז'ניץ,university,Palestine,PSE,HOTOSM/OSM,31.940294,35.04479,,,,False,
كلية الريان للطب المكمل,college,Palestine,PSE,HOTOSM/OSM,31.785961,35.231302,,,,True,Bethlehem (68 events)
كلية الانوار,college,Palestine,PSE,HOTOSM/OSM,31.786186,35.23178,,,,True,Bethlehem (68 events)
المهندس اسماعيل طه,college,Palestine,PSE,HOTOSM/OSM,31.837657,35.121869,,,,True,Al Quds (93 events)
روضة براعم الأيمان,kindergarten,Palestine,PSE,HOTOSM/OSM,31.531914,35.095013,,,,True,Hebron (147 events)
Al-Eman kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,32.465907,35.298742,,,,True,Jenin (43 events)
روضة منيه,kindergarten,Palestine,PSE,HOTOSM/OSM,31.771694,35.241009,,,,True,Bethlehem (68 events)
مدرسة الوكالة للبنات,school,Palestine,PSE,HOTOSM/OSM,31.80974,35.246054,,,,True,Ramallah and Al Bireh (150 events)
مدرسة شعفاط الابتدائية,school,Palestine,PSE,HOTOSM/OSM,31.810222,35.243738,,,,True,Al Quds (93 events)
Tarrama School,school,Palestine,PSE,HOTOSM/OSM,31.484901,35.029866,,,,True,Hebron (147 events)
معهد انت معنا,college,Palestine,PSE,HOTOSM/OSM,31.786152,35.232429,,,,True,Bethlehem (68 events)
ישיבה תיכונית - תורה ומדע ליד מכון לב,school,Palestine,PSE,HOTOSM/OSM,31.765,35.191314,,,,True,Bethlehem (68 events)
תבור קדם,kindergarten,Palestine,PSE,HOTOSM/OSM,31.80703,35.154291,,,,True,Ramallah and Al Bireh (150 events)
روضة أحبائنا الصغار,kindergarten,Palestine,PSE,HOTOSM/OSM,31.526464,34.437885,,,,True,Deir El Balah (3 events)
המכללה לחינוך דוד ילין,college,Palestine,PSE,HOTOSM/OSM,31.782071,35.190611,,,,True,Bethlehem (68 events)
"מרכז קהילתי ויצ""ו - תקשורת",school,Palestine,PSE,HOTOSM/OSM,31.754141,35.193998,,,,True,Bethlehem (68 events)
Al Aqsa School For Boys,school,Palestine,PSE,HOTOSM/OSM,31.599908,35.021145,,,,False,
Abu Amar School,school,Palestine,PSE,HOTOSM/OSM,31.61058,35.028938,,,,False,
ማውንት ኦሊቭ ት/ቤት,school,Ethiopia,ETH,HOTOSM/OSM,7.042928,38.47567,,,,False,
አሌፍ አካዳሚ,school,Ethiopia,ETH,HOTOSM/OSM,7.061825,38.47788,,,,False,
ቅዱስ ዳንኤል ኮምቦኒ ሁለተኛ ደረጃ እና መሰናዶ ት/ቤት,school,Ethiopia,ETH,HOTOSM/OSM,7.044652,38.468551,,,,False,
Sidna Ibrahim School,school,Palestine,PSE,HOTOSM/OSM,31.528499,35.078197,,,,True,Hebron (147 events)
Deir Abu Da'if Girls School,school,Palestine,PSE,HOTOSM/OSM,32.457736,35.361545,,,,True,Jenin (43 events)
Akkaba Basic School For Girls,school,Palestine,PSE,HOTOSM/OSM,32.348998,35.351006,,,,True,Tubas (14 events)
בית ספר נחלת צבי,school,Palestine,PSE,HOTOSM/OSM,32.238471,35.334177,,,,True,Nablus (156 events)
Alkarameh School,school,Palestine,PSE,HOTOSM/OSM,31.505157,34.957283,,,,False,
Rantees High School For Girls,school,Palestine,PSE,HOTOSM/OSM,32.029114,35.017042,,,,False,
المدرسة اللاتينية عابود,school,Palestine,PSE,HOTOSM/OSM,32.018443,35.068523,,,,False,
Al-Zuhoor kindergarten روضة زهور الولجة,kindergarten,Palestine,PSE,HOTOSM/OSM,31.725869,35.160781,,,,True,Bethlehem (68 events)
