Country,Admin1,Admin2,Year,Events,Fatalities
Lebanon,Al Nabatieh,Al Nabatieh,2019,0,0
Lebanon,Al Nabatieh,Al Nabatieh,2020,3,0
Lebanon,Al Nabatieh,Al Nabatieh,2021,4,0
Lebanon,Al Nabatieh,Al Nabatieh,2022,2,0
Lebanon,Al Nabatieh,Al Nabatieh,2023,2,1
Lebanon,Al Nabatieh,Al Nabatieh,2024,141,254
Lebanon,Al Nabatieh,Al Nabatieh,2025,20,13
Lebanon,Al Nabatieh,Al Nabatieh,2026,142,284
Lebanon,Al Nabatieh,Bint Jbeil,2016,0,0
Lebanon,Al Nabatieh,Bint Jbeil,2017,0,0
Lebanon,Al Nabatieh,Bint Jbeil,2018,1,0
Lebanon,Al Nabatieh,Bint Jbeil,2019,0,0
Lebanon,Al Nabatieh,Bint Jbeil,2020,1,0
Lebanon,Al Nabatieh,Bint Jbeil,2021,0,0
Lebanon,Al Nabatieh,Bint Jbeil,2022,1,0
Lebanon,Al Nabatieh,Bint Jbeil,2023,23,14
Lebanon,Al Nabatieh,Bint Jbeil,2024,83,96
Lebanon,Al Nabatieh,Bint Jbeil,2025,67,13
Lebanon,Al Nabatieh,Bint Jbeil,2026,95,154
Lebanon,Al Nabatieh,Hasbeiya,2016,2,0
Lebanon,Al Nabatieh,Hasbeiya,2017,0,0
Lebanon,Al Nabatieh,Hasbeiya,2018,2,0
Lebanon,Al Nabatieh,Hasbeiya,2019,1,1
Lebanon,Al Nabatieh,Hasbeiya,2020,4,0
Lebanon,Al Nabatieh,Hasbeiya,2021,2,0
Lebanon,Al Nabatieh,Hasbeiya,2022,2,0
Lebanon,Al Nabatieh,Hasbeiya,2023,14,6
Lebanon,Al Nabatieh,Hasbeiya,2024,50,29
Lebanon,Al Nabatieh,Hasbeiya,2025,24,0
Lebanon,Al Nabatieh,Hasbeiya,2026,16,10
Lebanon,Al Nabatieh,Marjayoun,2016,2,1
Lebanon,Al Nabatieh,Marjayoun,2017,0,0
Lebanon,Al Nabatieh,Marjayoun,2018,0,0
Lebanon,Al Nabatieh,Marjayoun,2019,0,0
Lebanon,Al Nabatieh,Marjayoun,2020,1,0
Lebanon,Al Nabatieh,Marjayoun,2021,3,0
Lebanon,Al Nabatieh,Marjayoun,2022,0,0
Lebanon,Al Nabatieh,Marjayoun,2023,24,12
Lebanon,Al Nabatieh,Marjayoun,2024,99,57
Lebanon,Al Nabatieh,Marjayoun,2025,93,37
