country_name,World Bank income group,Is student attendance recorded?,Can individual students who received school feeding be linked to attendance?,Describe impacts of school feeding on students,Did your country have a national school feeding program?,total_children_fed,pct_coverage,prop_preschool_fed,prop_primary_fed,prop_secondary_fed,prop_preschool_students_fed,prop_primary_students_fed,prop_secondary_students_fed,Fatalities,Events
Sierra Leone,Low income,Yes,Yes,"Healthy, well fed and happy kids performs well in public exams ",Yes,485674.0,19.35370236580496,0.0,39.00391387939453,0.0,0.0,27.59867286682129,0.0,,
Slovak Republic,High income,No,,,Yes,,,,,,,,,,
Slovenia,High income,,,,Yes,,,,,,,,,,
Solomon Islands,Lower middle income,,,,No,,,,,,,,,,
Somalia,Low income,Yes,Yes,Monitoring reports conucted by MOEHE,Yes,,,,,,,,,15307.0,12176.0
South Africa,Upper middle income,Yes,Yes,"The programmes leads to increased enrolment and improved
attendance and over time",Yes,,,,,,,,,,
South Sudan,Low income,Yes,Yes,,Yes,,,,,,,,,22995.0,7564.0
Spain,High income,Yes,,,Yes,,,,,,,,,,
Sri Lanka,Lower middle income,Yes,,"SABER SERVEY
MASTER  CARD SYSYTEM
COGNATIVE  SKILLS RELATED TO IRON SUPPLEMENTATION",Yes,,,,,,,,,,
State of Palestine,Lower middle income,,,,No,,,,,,,,,54947.0,27861.0
Sudan,Low income,Yes,Yes,,Yes,,,,,,,,,44546.0,13112.0
Sweden,High income,Yes,,,Yes,,,,,,,,,,
Switzerland,High income,Yes,,,Yes,,,,,,,,,,
Syrian Arab Republic,Low income,Yes,Yes,,Yes,,,,,,,,,47720.0,33727.0
Tajikistan,Lower middle income,Yes,Yes,"Micronutrient Research: Testing Students in Schools with and without WFP School Feeding Program, 2016
Studying the legal framework of the System of School Feeding 2018.
Filling nutritional deficiencies, 2018
",Yes,,,,,,,,,,
Thailand,Upper middle income,Yes,Yes,The school feeding budget is not adequate.  So the students growth is not right to the Ministry of Health's information,Yes,,,,,,,,,,
The Bahamas,High income,Yes,,,Yes,,,,,,,,,,
Timor Leste,Lower middle income,Yes,Yes,,Yes,,,,,,,,,,
Togo,Low income,Yes,Yes,"- Effet des cantines scolaires sur le taux de réussite (Ce taux 

varie entre 71% et 78,54% dans les écoles à cantines

contre 58% et 74,09% dans les écoles sans cantines)



- Effet des cantines scolaires sur le taux de fréquentation (un taux moyen d’augmentation des

effectifs de 6,03%)



- Effet de l’alimentation scolaire sur l’état nutritionnel des enfants (Les repas scolaires apportent 60 à 75 % des besoins

quotidiens des élèves en calories et protéines, le calcium 

et le fer faisant également partie des nutriments contenus

dans les repas)",Yes,133008.0,4.989374140555486,0.5868276953697205,9.959663391113281,0.0,1.972501516342163,7.887405872344971,0.0,,
Tonga,Upper middle income,,,,No,,,,,,,,,,
Trinidad and Tobago,High income,Yes,,"Study 1: Meal Consumption Patterns Among Recipient of the School Nutrition Programme in Trinidad and Tobago
- Meals uptakes were influenced by age, sex and the nature of the meal served.

Study 2: Sustainability of a curriculum-based intervention on dietary behaviours and physical activity among primary school children in Trinidad and Tobago
- Participants in the intervention group reported significantly lower intakes of fried foods and sodas and higher knowledge scores than participants in the control group some 18 months post-intervention independent of age, gender, BMI, ethnicity and the intakes at baseline.


",Yes,,,,,,,,,,
Tunisia,Lower middle income,Yes,Yes,"Etude sur la Nutrition mené par le PAM, OOESCO et partenaire coopérant ",Yes,,,,,,,,,,
Tuvalu,Upper middle income,,,,No,,,,,,,,,,
Uganda,Low income,Yes,Yes,Improved student attendance and academic performance.,Yes,,,,,,,,,,
United Arab Emirates,High income,Yes,,,Yes,,,,,,,,,,
United States of America,High income,Yes,,"One of the recent study (see link below) ""school nutrition and meal cost study"" showed that updated nutrition standards for school meals posed challenges but achieved underlying nutrition goals: more whole grains and fruits and vegetables were served in school meals
https://fns-prod.azureedge.net/sites/default/files/resource-files/SNMCS_infographic1_ChallengeswithNutritionStandards.pdf",Yes,,,,,,,,,,
Uruguay,High income,Yes,,,Yes,,,,,,,,,,
Uzbekistan,Lower middle income,,,,No,,,,,,,,,,
Zambia,Lower middle income,Yes,Yes,,Yes,,,,,,,,,,
Zimbabwe,Lower middle income,Yes,,"The studies have been more operational than in=depth HGSFP focused , hence limited utility",Yes,,,,,,,,,,
eSwatini,Lower middle income,Yes,Yes,CHANGED FROM USING GOVERNMENT TRANSPORT TO USING PRIVATE TRANSPORTERS TO ENSURE TIMELY DELIVERY OF FOOD IN SCHOOLS. ,Yes,,,,,,,,,,
